time,x,y,z
1766255405.4262552,4.4864125,0.0008253823,-3.997115
1766255405.5261924,4.512227,0.00078389654,-3.9972599
1766255405.6262045,4.537339,0.0007435386,-3.997401
1766255405.726108,4.5617456,0.0007043155,-3.997538
1766255405.8260581,4.585443,0.00066623185,-3.9976711
1766255405.926085,4.6084285,0.0006292914,-3.9978004
1766255406.0262065,4.6307006,0.00059349835,-3.9979253
1766255406.1261027,4.652258,0.0005588536,-3.9980464
1766255406.2260518,4.6730986,0.00052536046,-3.9981635
1766255406.3260357,4.693224,0.00049301796,-3.9982767
1766255406.4263253,4.712633,0.00046182517,-3.9983857
1766255406.526082,4.731328,0.0004317807,-3.9984906
1766255406.626352,4.7493105,0.0004028813,-3.9985917
1766255406.7260303,4.766583,0.00037512276,-3.9986887
1766255406.8259192,4.7831483,0.0003485009,-3.9987817
1766255406.9258802,4.7990108,0.00032300781,-3.9988708
1766255407.0264475,4.814175,0.0002986379,-3.9989562
1766255407.1261406,4.828646,0.0002753809,-3.9990375
1766255407.2261298,4.8424306,0.00025322894,-3.9991148
1766255407.3260477,4.855535,0.00023216847,-3.9991884
1766255407.4262147,4.8679667,0.00021218974,-3.9992583
1766255407.5259812,4.879734,0.0001932783,-3.9993243
1766255407.626156,4.8908467,0.00017541973,-3.9993868
1766255407.7259853,4.9013143,0.00015859772,-3.9994457
1766255407.826043,4.911147,0.0001427941,-3.9995008
1766255407.9259906,4.9203577,0.0001279926,-3.9995525
1766255408.02613,4.9289575,0.000114171766,-3.999601
1766255408.1259778,4.93696,0.00010131113,-3.999646
1766255408.2261581,4.94438,8.938741e-05,-3.9996874
1766255408.3262084,4.951231,7.837638e-05,-3.999726
1766255408.425954,4.95753,6.8252906e-05,-3.9997613
1766255408.5258818,4.963293,5.8991835e-05,-3.9997938
1766255408.6260047,4.9685383,5.0562434e-05,-3.9998233
1766255408.7261622,4.9732833,4.2935833e-05,-3.9998498
1766255408.826083,4.977548,3.608223e-05,-3.9998739
1766255408.9258976,4.981353,2.9967166e-05,-3.9998953
1766255409.0259392,4.984719,2.4558045e-05,-3.9999142
1766255409.1259181,4.9876685,1.9817613e-05,-3.9999306
1766255409.2259836,4.9902244,1.571048e-05,-3.9999452
1766255409.3259616,4.9924116,1.2195669e-05,-3.9999573
1766255409.4258385,4.994254,9.234063e-06,-3.9999678
1766255409.5259643,4.9957786,6.784685e-06,-3.9999764
1766255409.6261249,4.997012,4.801899e-06,-3.9999833
1766255409.7260673,4.997983,3.2419339e-06,-3.9999886
1766255409.8260372,4.99872,2.0572916e-06,-3.9999928
1766255409.925853,4.9992537,1.1995435e-06,-3.9999957
1766255410.0259593,4.999615,6.183982e-07,-3.9999979
1766255410.1259189,4.999836,2.635643e-07,-3.999999
1766255410.2259524,4.9999514,7.8231096e-08,-3.9999998
1766255410.326259,4.999994,1.0244548e-08,-4.0
1766255410.4259326,5.0,0.0,-4.0
1766255410.626012,5.1235595,-0.011533711,-3.966829
1766255410.7256958,5.1235595,-0.011527494,-3.966829
1766255410.8259587,5.123558,-0.0114843445,-3.9668293
1766255410.926176,5.123555,-0.011368355,-3.9668303
1766255411.025971,5.12355,-0.01114472,-3.9668317
1766255411.1259735,5.123541,-0.01077973,-3.966834
1766255411.2258306,5.1235275,-0.010240756,-3.9668376
1766255411.3258812,5.1235094,-0.009496244,-3.9668427
1766255411.4259634,5.123485,-0.008515693,-3.966849
1766255411.5259268,5.1234546,-0.007269658,-3.9668572
1766255411.6258144,5.1234164,-0.0057297284,-3.9668674
1766255411.7257984,5.1233706,-0.0038685189,-3.9668798
1766255411.8258445,5.123316,-0.0016596587,-3.9668944
1766255411.9258356,5.1232524,0.0009222161,-3.9669116
1766255412.0260863,5.123179,0.0039014835,-3.9669313
1766255412.126244,5.123095,0.0073015336,-3.9669538
1766255412.2257516,5.123,0.011144785,-3.9669793
1766255412.3256874,5.1228943,0.015452711,-3.9670076
1766255412.4257703,5.122776,0.020245828,-3.9670393
1766255412.5258398,5.1226454,0.025543705,-3.9670744
1766255412.6258843,5.122502,0.03136502,-3.967113
1766255412.7258239,5.122345,0.037727494,-3.9671552
1766255412.8258498,5.1221743,0.04464799,-3.967201
1766255412.9257917,5.1219897,0.052142452,-3.9672506
1766255413.0257792,5.1217904,0.06022593,-3.967304
1766255413.126024,5.121576,0.068912655,-3.9673615
1766255413.2260525,5.1213465,0.07821596,-3.9674232
1766255413.325752,5.121102,0.088148385,-3.9674888
1766255413.4258597,5.120841,0.098721504,-3.9675589
1766255413.5259216,5.1205645,0.109946236,-3.967633
1766255413.6258821,5.120271,0.12183261,-3.9677117
1766255413.7258236,5.1199617,0.13438982,-3.967795
1766255413.825794,5.1196356,0.14762631,-3.9678826
1766255413.9257352,5.1192923,0.16154979,-3.9679747
1766255414.0259237,5.118932,0.17616712,-3.9680715
1766255414.1260438,5.118554,0.19148439,-3.9681728
1766255414.2256951,5.118159,0.20750712,-3.968279
1766255414.3258426,5.1177464,0.22423987,-3.9683895
1766255414.4259357,5.1173162,0.24168661,-3.9685051
1766255414.5258331,5.1168685,0.25985056,-3.9686253
1766255414.625648,5.116403,0.27873433,-3.9687502
