time,x_est,y_est,z_est,x_sp,y_sp,z_sp
15979.7,-0.195795,0.0150336,-1.18065,0.295959,0.269298,-3.97543
15979.7,-0.195185,0.0139656,-1.1817,0.308137,0.281666,-3.9756
15979.8,-0.194581,0.0129082,-1.18273,0.320574,0.294298,-3.97578
15979.8,-0.193393,0.0108256,-1.18472,0.333268,0.307191,-3.97596
15979.8,-0.19281,0.00980052,-1.18568,0.346214,0.32034,-3.97615
15979.8,-0.192233,0.00878614,-1.18662,0.359409,0.333741,-3.97634
15979.8,-0.191656,0.00778428,-1.18753,0.37285,0.347392,-3.97653
15979.8,-0.190522,0.00581222,-1.18932,0.386531,0.361287,-3.97673
15979.8,-0.189966,0.00484194,-1.19017,0.400449,0.375423,-3.97693
15979.8,-0.189418,0.0038822,-1.19101,0.414599,0.389794,-3.97714
15979.8,-0.189022,0.00314434,-1.19166,0.428977,0.404397,-3.97734
15979.8,-0.188244,0.00168727,-1.19294,0.443577,0.419226,-3.97755
15979.9,-0.187862,0.000968473,-1.19355,0.458395,0.434276,-3.97777
15979.9,-0.187485,0.000256391,-1.19415,0.473427,0.449542,-3.97798
15979.9,-0.187101,-0.000448481,-1.19473,0.488665,0.46502,-3.9782
15979.9,-0.186349,-0.00183811,-1.19583,0.504106,0.480702,-3.97843
15979.9,-0.185981,-0.00252287,-1.19637,0.519744,0.496585,-3.97865
15979.9,-0.185617,-0.00320082,-1.19689,0.535574,0.512662,-3.97888
15979.9,-0.18526,-0.00387193,-1.19739,0.551588,0.528927,-3.97911
15979.9,-0.184561,-0.00519432,-1.19834,0.567782,0.545374,-3.97935
15979.9,-0.18422,-0.00584611,-1.19879,0.58415,0.561998,-3.97958
15979.9,-0.183879,-0.0064902,-1.19922,0.600686,0.578792,-3.97982
15980,-0.183545,-0.00712822,-1.19966,0.617383,0.595751,-3.98006
15980,-0.18161,-0.00859334,-1.19917,0.634235,0.612866,-3.9803
15980,-0.180673,-0.00931571,-1.19893,0.651235,0.630133,-3.98055
15980,-0.179756,-0.010031,-1.19868,0.668378,0.647544,-3.9808
15980,-0.178857,-0.010739,-1.19844,0.685657,0.665093,-3.98105
15980,-0.177118,-0.0121334,-1.19799,0.703065,0.682773,-3.9813
15980,-0.176271,-0.0128196,-1.19776,0.720595,0.700578,-3.98155
15980,-0.175443,-0.013499,-1.19753,0.738241,0.7185,-3.9818
15980,-0.174632,-0.0141719,-1.1973,0.755995,0.736532,-3.98206
